iteration,math5000,aime2024,gpqa_diamond,needlebench_atc
0,0.514,0.0667,0.0253,0.1778
10,0.554,0.0667,0.0455,0.2111
20,0.554,0.0333,0.0556,0.2444
30,0.656,0.1,0.1111,0.2444
40,0.664,0.0667,0.1616,0.2222
50,0.676,0.0667,0.1717,0.1778
60,0.708,0.1,0.197,0.2
70,0.694,0.0667,0.1717,0.2
80,0.692,0.1,0.2222,0.2444
90,0.704,0.0667,0.197,0.2222
100,0.72,0.1,0.1667,0.1778
110,0.728,0.1,0.1616,0.2111
120,0.698,0.0667,0.1414,0.2556
130,0.716,0.1,0.1364,0.2556
140,0.722,0.1333,0.1263,0.2667
150,0.728,0.0667,0.101,0.2444
160,0.69,0.1,0.1414,0.1889
170,0.712,0.1,0.101,0.2222
180,0.726,0.1,0.1263,0.2111
190,0.726,0.1,0.1212,0.2111
200,0.708,0.1,0.1717,0.2556
210,0.746,0.1333,0.1919,0.2556
220,0.736,0.1,0.197,0.2111
230,0.734,0.1667,0.1869,0.2444
240,0.716,0.1,0.1717,0.2556
250,0.74,0.1333,0.2071,0.2
260,0.732,0.1,0.2172,0.2222
270,0.72,0.0667,0.202,0.3444
280,0.728,0.1667,0.2273,0.2667
290,0.74,0.1333,0.2121,0.2333
300,0.76,0.1333,0.2071,0.2556
310,0.72,0.0667,0.1818,0.2556
320,0.73,0.0667,0.1515,0.2444
330,0.716,0.1,0.1465,0.2667
340,0.738,0.1333,0.1465,0.2889
350,0.596,0.1,0.0707,0.2444
360,0.608,0.1333,0.0606,0.2556
370,0.702,0.1,0.096,0.2222
380,0.736,0.1667,0.096,0.2778
390,0.708,0.1,0.1263,0.3111
400,0.714,0.1333,0.1566,0.2556
410,0.72,0.1333,0.2172,0.3
420,0.732,0.1667,0.1768,0.2778
430,0.724,0.1333,0.1717,0.2444
440,0.718,0.1,0.1465,0.2444
450,0.714,0.1333,0.1768,0.3111
460,0.716,0.1333,0.1212,0.2889
470,0.688,0.1333,0.101,0.2778
480,0.706,0.1,0.101,0.2889
490,0.716,0.1667,0.1111,0.3111
500,0.712,0.1667,0.1162,0.3333
510,0.692,0.1333,0.0707,0.3111
520,0.71,0.2,0.0657,0.3444
530,0.718,0.1333,0.0859,0.2889
540,0.718,0.1667,0.0859,0.3444
550,0.692,0.1333,0.0606,0.3222
560,0.734,0.1667,0.1263,0.3444
570,0.732,0.1333,0.0859,0.3333
580,0.724,0.1333,0.1212,0.3222
590,0.71,0.1333,0.1263,0.3444
600,0.732,0.1,0.1414,0.3222
610,0.714,0.1667,0.1465,0.3667
620,0.716,0.1333,0.1364,0.3556
630,0.738,0.2,0.1566,0.3556
640,0.704,0.1667,0.1465,0.3
650,0.696,0.1667,0.1061,0.3222
660,0.706,0.1667,0.101,0.3
670,0.732,0.1333,0.1717,0.3444
680,0.738,0.1,0.1515,0.3
690,0.72,0.1,0.2222,0.3333
700,0.752,0.1333,0.1869,0.3556
710,0.728,0.1333,0.1566,0.2889
720,0.736,0.1333,0.2172,0.3333
730,0.75,0.1333,0.1566,0.3
740,0.744,0.1,0.1919,0.3
750,0.742,0.1333,0.2273,0.3222
760,0.754,0.2667,0.202,0.3556
770,0.744,0.1,0.2222,0.2889
780,0.744,0.2,0.2273,0.2778
790,0.73,0.2,0.1768,0.2778
800,0.738,0.1,0.2222,0.3222
810,0.746,0.1667,0.1667,0.2889
820,0.754,0.2,0.1869,0.3222
830,0.714,0.1667,0.1667,0.3111
840,0.75,0.2,0.1717,0.3
850,0.742,0.1333,0.2424,0.3
860,0.762,0.1333,0.2172,0.3333
870,0.744,0.1,0.2576,0.3111
880,0.738,0.1,0.2172,0.3
